SexAge,FamilySize,TravelTimeIndex,StudyTimeIndex,Romantic,Absences,AverageGrade
"M: male, F: female","GT3: greater than or equal to 3, LT3: less than 3","1: < 15 mins, 2: 15–30 mins, 3: 30–60 mins, 4: > 60 mins","Weekly study time.  1: < 2 hrs, 2: 2–5 hrs, 3: 5–10 hrs, 4: > 10 hrs",In a romantic relationship,Number of school absences,Final grade
"F,18",GT3,2,2,no,6,5.666666667
"F,17",GT3,1,2,no,4,5.333333333
"F,15",LE3,1,2,no,10,8.333333333
"F,15",GT3,1,3,yes,2,14.66666667
"F,16",GT3,1,2,no,4,8.666666667
"M,16",LE3,1,2,no,10,15
"M,16",LE3,1,2,no,0,11.66666667
"F,17",GT3,2,2,no,6,5.666666667
"M,15",LE3,1,2,no,0,17.66666667
"M,15",GT3,1,2,no,0,14.66666667
"F,15",GT3,1,2,no,0,9
"F,15",GT3,3,3,no,4,11.33333333
"M,15",LE3,1,1,no,2,14
"M,15",GT3,2,2,no,2,10.33333333
"M,15",GT3,1,3,yes,0,15.33333333
"F,16",GT3,1,1,no,4,14
"F,16",GT3,1,3,no,6,13.66666667
"F,16",GT3,3,2,no,4,9.333333333
"M,17",GT3,1,1,no,16,5.333333333
"M,16",LE3,1,1,no,4,9.333333333
"M,15",GT3,1,2,no,0,14
"M,15",GT3,1,1,no,0,14
"M,16",LE3,1,2,no,2,15.33333333
"M,16",LE3,2,2,no,0,12.66666667
"F,15",GT3,1,3,no,2,9
"F,16",GT3,1,1,no,14,7.666666667
"M,15",GT3,1,1,no,2,11.66666667
"M,15",GT3,1,1,no,4,15.33333333
"M,16",LE3,1,2,no,4,11
"M,16",GT3,1,2,yes,16,11
"M,15",GT3,1,2,no,0,10.66666667
"M,15",GT3,2,2,no,0,16.66666667
"M,15",GT3,1,2,yes,0,16.33333333
"M,15",LE3,1,2,no,0,10
"M,16",GT3,1,1,no,0,13.66666667
"F,15",GT3,2,1,no,0,7
"M,15",LE3,1,3,no,2,16.33333333
"M,16",GT3,2,3,yes,7,15.33333333
"F,15",GT3,1,3,no,2,11.66666667
"F,15",GT3,1,1,no,8,13.33333333
"F,16",LE3,2,2,yes,25,9.333333333
"M,15",LE3,1,1,yes,8,12
"M,15",GT3,1,2,no,2,18.33333333
"M,15",GT3,1,1,no,0,9
"F,16",LE3,2,2,no,14,9.666666667
"F,15",LE3,1,2,yes,8,7.333333333
"F,16",LE3,1,2,no,12,11.33333333
"M,16",GT3,1,4,no,4,19.33333333
"M,15",GT3,1,2,no,2,14.66666667
"F,15",GT3,1,2,no,2,7
"F,16",LE3,3,2,no,2,12.66666667
"F,15",LE3,1,2,no,2,12.33333333
"M,15",LE3,2,1,no,6,10.66666667
"F,15",GT3,1,1,no,0,9.666666667
"F,15",LE3,1,1,no,6,12
"F,16",GT3,1,2,yes,8,9
"F,15",GT3,1,2,no,0,14.66666667
"M,15",GT3,1,2,no,4,14.66666667
"M,15",LE3,1,2,no,2,9.333333333
"F,16",GT3,1,2,no,2,15.66666667
"F,16",GT3,1,2,no,6,10.66666667
"F,16",GT3,4,1,yes,6,9.666666667
"F,16",LE3,1,2,no,4,9
"F,16",GT3,1,3,no,2,9.333333333
"F,15",LE3,1,2,yes,0,10
"F,16",LE3,3,2,no,2,15.33333333
"M,15",GT3,1,4,yes,4,12.66666667
"F,16",GT3,1,4,no,4,6.666666667
"F,15",LE3,2,2,no,2,8.333333333
"F,15",LE3,2,4,no,12,16
"M,16",GT3,2,4,no,0,14.33333333
"M,15",GT3,1,4,no,0,10
"F,15",GT3,1,2,yes,2,6.333333333
"M,16",GT3,1,1,no,2,12.66666667
"F,16",GT3,1,2,no,54,11.33333333
"M,15",GT3,1,2,no,6,9.333333333
"M,15",GT3,2,4,no,8,10.66666667
"F,16",GT3,1,4,yes,0,11
"M,17",GT3,2,1,no,2,8.666666667
"F,16",GT3,1,2,no,12,5
"M,15",GT3,1,1,yes,2,11.33333333
"M,15",GT3,1,3,no,4,10.66666667
"F,15",LE3,1,2,no,10,6.333333333
"M,15",LE3,2,2,no,4,15
"F,15",GT3,1,2,no,2,9.666666667
"F,15",GT3,2,2,yes,6,8
"F,16",LE3,1,2,no,4,7
"F,15",GT3,1,3,no,4,13.66666667
"M,16",GT3,2,2,no,12,10.33333333
"M,16",LE3,1,2,no,18,7
"F,16",GT3,1,3,yes,0,7.333333333
"F,15",GT3,1,1,no,4,17
"F,16",LE3,1,2,no,4,6.333333333
"F,16",GT3,2,2,no,0,10.33333333
"M,15",LE3,1,4,no,6,12.66666667
"F,15",GT3,2,4,no,2,9
"M,16",GT3,2,1,no,2,13.66666667
"F,16",GT3,1,2,yes,2,9
"F,16",GT3,1,1,no,6,13
"F,16",GT3,1,3,no,0,8
"M,16",GT3,1,1,no,14,6.333333333
"M,16",GT3,1,3,yes,0,16.66666667
"M,15",GT3,1,1,no,4,12.33333333
"F,15",GT3,2,2,no,26,6.333333333
"M,15",GT3,1,2,no,0,17.33333333
"F,15",GT3,1,4,no,10,10.66666667
"F,15",GT3,1,4,no,8,7.666666667
"M,16",GT3,1,3,no,2,17.33333333
"M,15",GT3,4,4,yes,6,12
"F,16",LE3,1,3,yes,4,15
"M,15",LE3,1,1,no,6,18.66666667
"F,16",GT3,1,3,no,0,9
"F,16",GT3,1,2,no,6,12
"M,15",LE3,1,1,no,10,18.66666667
"M,15",GT3,1,2,yes,8,9
"M,16",GT3,1,2,no,2,15.33333333
"M,15",GT3,2,2,no,2,12.66666667
"M,16",GT3,2,1,no,0,13.33333333
"M,17",GT3,3,2,no,20,8
"M,15",GT3,1,1,no,6,13.33333333
"F,15",GT3,1,2,no,2,15.33333333
"M,15",GT3,1,4,no,6,15
"F,16",LE3,2,2,yes,2,13
"M,16",GT3,1,1,no,18,12.66666667
"F,16",GT3,1,2,yes,0,7.666666667
"M,15",GT3,1,1,no,0,12.66666667
"F,15",LE3,1,2,yes,0,9.333333333
"F,19",GT3,1,2,no,2,8
"M,18",GT3,1,1,no,0,3.666666667
"M,16",GT3,1,1,no,8,18
"F,15",GT3,2,3,yes,0,4
"F,15",GT3,3,1,yes,0,2.666666667
"F,17",LE3,1,1,yes,12,11.66666667
"F,16",GT3,1,1,no,16,11.33333333
"M,15",GT3,4,2,yes,0,3
"F,15",GT3,1,3,yes,0,3.666666667
"M,17",GT3,3,2,no,0,3.333333333
"F,16",GT3,2,1,yes,0,1.333333333
"M,16",LE3,1,2,yes,0,12.66666667
"F,15",GT3,2,1,no,0,15.66666667
"M,15",GT3,2,4,no,0,5.333333333
"M,16",LE3,2,1,no,8,9
"F,15",GT3,1,3,no,2,10.33333333
"F,16",LE3,1,1,no,2,13.66666667
"M,17",GT3,1,1,no,0,1.666666667
"F,15",GT3,1,2,no,0,10
"F,15",GT3,1,2,no,0,4.333333333
"F,15",GT3,1,2,no,2,10.66666667
"M,16",GT3,1,1,yes,0,4.333333333
"M,15",LE3,4,1,no,0,9
"M,18",LE3,1,1,yes,0,3.666666667
"M,16",LE3,1,1,yes,6,13
"F,15",GT3,2,3,yes,8,10
"M,19",GT3,1,1,yes,0,1.666666667
"F,17",GT3,1,1,yes,0,11.33333333
"M,15",GT3,1,2,no,2,9
"M,17",LE3,1,1,no,8,13.66666667
"F,18",GT3,3,1,no,6,9
"M,16",GT3,3,1,no,2,15.66666667
"M,16",GT3,1,2,yes,4,11.33333333
"M,17",LE3,2,1,yes,0,4.333333333
"M,15",GT3,2,2,yes,6,7
"M,16",LE3,2,1,no,0,2.333333333
"M,17",GT3,1,1,no,2,10
"M,17",LE3,4,2,yes,0,6.666666667
"M,16",GT3,2,1,no,16,11.66666667
"M,16",GT3,1,2,no,4,10
"F,16",GT3,1,2,yes,0,15
"F,16",GT3,1,2,no,0,4.333333333
"F,16",GT3,1,2,yes,0,14
"M,16",GT3,3,1,no,0,3.666666667
"M,16",GT3,2,2,yes,2,14.66666667
"M,17",LE3,1,2,no,0,11.33333333
"F,16",GT3,1,2,yes,0,5
"F,16",LE3,2,2,no,4,10
"M,17",LE3,2,2,no,4,9.333333333
"F,16",GT3,2,2,no,2,12.33333333
"M,17",GT3,1,2,no,4,5.666666667
"M,16",GT3,1,1,yes,10,9
"M,17",GT3,1,2,yes,4,10.33333333
"M,16",GT3,1,2,no,10,8.333333333
"M,16",GT3,1,2,yes,2,12.33333333
"F,17",GT3,1,2,no,0,16.66666667
"F,17",LE3,1,2,yes,56,8.666666667
"F,16",GT3,1,2,no,14,12.33333333
"M,17",GT3,1,2,yes,12,11.66666667
"M,16",GT3,1,1,yes,2,11.33333333
"M,16",LE3,1,2,yes,0,15
"F,17",GT3,1,2,yes,6,8
"M,17",GT3,1,2,no,4,9
"F,16",GT3,1,2,no,10,12
"F,17",GT3,1,2,no,0,8.333333333
"M,17",GT3,2,2,no,12,7.666666667
"M,16",GT3,1,1,no,8,9
"M,16",GT3,2,1,no,0,13.66666667
"F,17",LE3,1,2,yes,0,14.66666667
"M,17",GT3,1,1,no,4,16
"M,16",LE3,3,1,no,8,9.333333333
"F,17",GT3,2,1,no,24,18
"F,16",LE3,1,2,no,0,9.333333333
"F,16",GT3,1,2,no,2,16
"F,16",GT3,1,2,no,6,9.333333333
"F,17",GT3,1,2,no,4,9.333333333
"F,17",GT3,1,1,no,18,6.333333333
"F,16",GT3,2,4,no,6,10.33333333
"F,17",GT3,1,3,yes,28,9.333333333
"F,16",GT3,1,2,no,5,7
"F,16",GT3,1,2,yes,10,12
"F,16",GT3,2,1,no,6,9.333333333
"F,17",GT3,2,3,yes,6,7
"F,19",GT3,1,4,no,10,8
"M,17",LE3,1,2,yes,13,12.33333333
"F,16",GT3,1,2,no,0,13
"M,18",GT3,1,2,no,15,7
"F,17",LE3,1,1,no,12,9.333333333
"F,17",LE3,2,2,no,2,14.66666667
"F,17",GT3,1,2,yes,22,5.333333333
"M,18",LE3,1,2,no,13,6.666666667
"F,17",GT3,2,1,no,3,7.333333333
"F,17",GT3,1,3,no,4,9.666666667
"F,17",GT3,2,2,no,2,6
"F,17",GT3,1,3,yes,0,3.666666667
"F,16",GT3,1,2,no,2,16.33333333
"M,18",GT3,2,2,no,0,12.66666667
"F,16",GT3,1,3,no,0,13.33333333
"F,18",GT3,1,2,yes,16,8
"F,17",GT3,1,2,no,10,15.33333333
"M,17",LE3,1,2,no,2,11.66666667
"M,18",LE3,4,2,yes,14,9
"F,17",GT3,2,3,yes,10,11.33333333
"F,17",LE3,1,2,yes,14,13.33333333
"M,17",GT3,2,2,no,4,11
"M,17",GT3,1,2,yes,14,9.666666667
"M,16",GT3,1,2,no,2,13.33333333
"M,16",LE3,2,2,no,18,7.333333333
"M,16",GT3,2,3,yes,10,10
"M,17",LE3,1,2,yes,4,13.33333333
"F,16",GT3,1,1,yes,20,12.33333333
"F,17",GT3,3,2,no,2,11.66666667
"M,18",GT3,1,2,no,0,4.666666667
"M,17",LE3,2,2,yes,14,12
"M,17",LE3,2,2,no,2,11
"M,16",LE3,1,1,no,0,2
"M,16",GT3,1,1,no,0,12.33333333
"F,18",GT3,2,3,yes,0,2.333333333
"M,16",GT3,3,1,no,6,18
"M,17",GT3,2,1,no,4,12.33333333
"M,22",GT3,1,1,yes,16,7.333333333
"M,18",LE3,1,2,yes,8,4.333333333
"M,16",GT3,1,1,no,0,14.33333333
"M,18",GT3,2,1,no,0,7.333333333
"M,16",GT3,3,2,no,6,9
"M,18",GT3,1,1,no,4,7.666666667
"M,16",GT3,2,1,no,0,8.333333333
"M,17",GT3,1,1,no,0,10.66666667
"M,17",LE3,2,1,no,2,8
"F,17",LE3,1,4,no,6,13
"M,19",LE3,1,2,no,12,11
"M,18",GT3,1,2,no,8,14.33333333
"F,17",LE3,1,4,yes,0,6.333333333
"F,18",GT3,1,2,yes,21,17.66666667
"M,18",GT3,1,2,no,2,8
"M,18",GT3,1,3,no,1,12.33333333
"F,17",GT3,1,3,no,4,9.333333333
"F,18",GT3,1,3,yes,0,6.333333333
"M,18",LE3,2,2,no,13,17
"M,17",GT3,1,2,yes,2,9.333333333
"F,18",GT3,2,2,no,8,11
"M,18",GT3,1,2,yes,10,9.666666667
"F,18",GT3,2,2,yes,0,2
"F,19",GT3,1,2,no,15,9
"F,18",GT3,1,4,yes,4,14.33333333
"F,18",LE3,2,2,no,2,11
"M,17",GT3,1,2,yes,2,14.33333333
"F,17",GT3,2,2,yes,2,10
"F,17",LE3,2,2,yes,6,12
"F,18",GT3,2,2,yes,75,9.333333333
"M,18",GT3,2,1,no,22,9
"F,18",GT3,1,2,yes,15,8.333333333
"M,18",LE3,2,1,no,8,10.33333333
"M,17",LE3,2,1,yes,30,8
"M,17",LE3,1,1,no,19,10
"F,18",LE3,2,4,no,1,12
"F,18",GT3,2,2,no,4,9
"F,17",GT3,1,2,no,4,10
"M,17",GT3,1,2,no,2,11
"F,18",GT3,1,3,no,5,18.33333333
"F,17",GT3,1,3,no,6,12.33333333
"M,18",GT3,1,3,no,6,14.33333333
"M,18",LE3,1,2,no,9,14.33333333
"M,18",GT3,1,2,yes,11,11.33333333
"F,17",GT3,1,3,no,0,15
"F,18",LE3,1,2,yes,12,12.33333333
"F,17",LE3,2,4,no,6,18
"M,18",LE3,2,3,no,8,13.66666667
"M,17",GT3,1,1,no,4,12.33333333
"F,19",GT3,2,2,no,0,6.333333333
"F,18",LE3,2,2,yes,10,8.666666667
"F,18",GT3,1,4,no,0,13.66666667
"M,18",LE3,1,1,yes,5,15.66666667
"F,18",LE3,1,2,yes,14,11
"M,17",LE3,2,1,no,0,10.66666667
"F,17",GT3,2,3,no,0,13.66666667
"F,17",GT3,1,4,no,0,17.33333333
"M,19",GT3,1,2,yes,20,14
"F,18",GT3,1,2,no,8,12.66666667
"M,20",GT3,1,1,no,0,17.66666667
"M,19",GT3,2,1,yes,38,8.333333333
"M,19",GT3,1,2,yes,0,13
"F,19",LE3,1,2,no,18,10.66666667
"F,19",LE3,1,2,yes,0,6
"F,19",GT3,3,2,yes,20,13
"M,19",GT3,1,2,no,3,11.66666667
"F,19",LE3,2,2,yes,22,11.33333333
"F,19",GT3,1,3,yes,14,13.66666667
"F,19",GT3,1,3,yes,40,11.66666667
"F,18",GT3,2,2,no,0,5.333333333
"F,18",GT3,1,3,yes,9,9.333333333
"F,17",GT3,1,3,no,0,10.66666667
"F,18",GT3,1,2,no,2,11
"F,17",GT3,1,2,yes,23,13
"F,17",GT3,1,2,yes,12,9.666666667
"F,17",LE3,1,3,no,3,11
"F,17",GT3,1,3,no,1,13.66666667
"F,17",LE3,2,3,no,0,15.33333333
"M,18",GT3,1,3,no,3,10.66666667
"M,17",GT3,1,1,no,3,15
"M,17",GT3,4,1,no,8,10.33333333
"F,17",GT3,1,3,no,7,9.333333333
"F,17",GT3,2,3,yes,4,14
"M,18",LE3,1,4,no,2,8.333333333
"F,17",GT3,1,3,yes,7,13.33333333
"F,18",GT3,1,2,no,0,2.333333333
"F,18",LE3,1,2,yes,0,5.333333333
"F,18",GT3,2,4,no,0,6.333333333
"F,17",GT3,1,3,no,16,15.33333333
"F,19",GT3,1,3,no,12,13.33333333
"F,17",GT3,1,2,yes,0,5
"F,18",LE3,1,4,no,7,16
"F,17",GT3,1,2,no,4,9.666666667
"F,19",GT3,1,3,yes,4,11.33333333
"M,18",GT3,1,2,no,0,6.666666667
"M,18",LE3,1,2,yes,11,15.33333333
"F,17",GT3,1,2,yes,0,5.666666667
"F,18",GT3,1,3,no,4,10.33333333
"F,18",GT3,1,3,yes,7,13.33333333
"M,18",GT3,1,3,yes,9,15.66666667
"M,18",GT3,1,3,yes,0,9.666666667
"F,17",GT3,1,3,yes,0,14.33333333
"M,18",GT3,2,1,no,10,12.33333333
"M,19",GT3,3,2,no,8,7.666666667
"M,17",GT3,2,2,no,2,13
"M,18",LE3,1,1,yes,7,7.666666667
"M,19",GT3,3,1,no,4,8
"M,17",GT3,2,2,yes,4,11.66666667
"F,18",GT3,1,2,yes,0,9.333333333
"F,17",GT3,2,2,no,4,12.66666667
"F,17",LE3,2,2,yes,2,11.66666667
"M,18",LE3,2,1,yes,4,10
"F,18",LE3,2,3,no,0,16.66666667
"F,18",LE3,3,2,yes,0,13
"M,18",LE3,2,2,no,2,12.33333333
"F,18",GT3,2,2,yes,0,10.66666667
"F,17",LE3,1,2,yes,0,15.33333333
"F,17",GT3,2,2,no,0,11.66666667
"M,18",GT3,2,2,no,4,10
"M,18",LE3,2,3,yes,0,13
"F,17",GT3,3,1,yes,0,4.333333333
"F,18",GT3,2,1,yes,0,10.33333333
"F,18",GT3,3,2,yes,10,12.33333333
"F,19",LE3,2,2,yes,4,7.666666667
"M,18",LE3,3,1,yes,3,12.66666667
"F,17",GT3,1,3,yes,8,11.66666667
"F,17",GT3,1,1,no,14,5.333333333
"F,18",LE3,2,3,no,0,18.66666667
"F,18",GT3,4,3,no,2,8.666666667
"F,20",GT3,2,3,yes,4,14.66666667
"F,18",LE3,1,2,no,4,9
"F,18",GT3,1,2,yes,0,15
"F,17",GT3,1,2,no,17,10
"M,18",GT3,1,2,no,4,14.33333333
"M,18",GT3,2,1,yes,5,6.666666667
"M,17",GT3,2,2,no,2,10.66666667
"M,19",GT3,2,1,no,0,3.666666667
"M,18",GT3,2,1,no,14,5.333333333
"F,18",GT3,2,3,no,2,9.666666667
"F,18",GT3,3,1,yes,7,5.666666667
"F,19",GT3,1,3,no,0,4
"F,18",LE3,1,2,no,0,8
"F,18",GT3,2,2,no,0,3.666666667





